id,article,season
15970,0,0
39386,1,1
21379,2,0
53759,3,1
1855,3,1
30805,0,1
26960,0,1
9204,4,1
18653,4,0
46885,4,0
12369,0,0
42419,3,1
12967,4,0
13089,5,0
9036,4,2
7990,3,0
37812,0,1
4729,3,1
56825,0,1
39988,4,2
59051,4,2
20099,0,0
3954,3,1
2886,4,2
28690,0,1
8580,6,0
3168,4,0
18005,7,1
9452,0,0
10268,4,0
45856,0,1
59435,4,1
5891,3,1
38630,3,1
4943,0,1
10866,3,0
59607,8,0
15528,3,0
22198,4,0
29570,4,1
6628,4,1
54924,7,1
26538,4,0
49495,4,1
9660,0,0
2288,3,0
23876,5,0
18237,3,0
54118,4,2
2872,4,2
49653,3,1
8574,4,0
19123,4,0
13419,3,1
43369,4,1
33822,4,1
58513,3,1
52029,9,1
5865,3,1
39716,8,1
11940,4,1
55802,5,1
29584,3,1
28456,10,1
34009,3,1
19311,4,0
42089,4,1
49461,4,1
8746,4,1
9694,3,0
23882,4,0
34835,4,1
15984,0,0
11518,4,2
33648,4,1
59297,0,0
27846,11,1
26994,1,1
49839,4,2
2618,4,3
54588,0,1
8322,3,0
12993,4,0
7158,0,0
18495,4,0
19547,5,0
7964,3,0
39140,8,1
41866,4,0
44528,4,1
16392,0,0
51455,6,1
17240,3,0
47530,4,2
6617,0,1
3365,3,1
42042,4,1
23849,4,0
54127,4,2
10065,3,0
24250,4,0
5092,3,1
10859,3,0
59638,8,0
15517,4,0
4140,4,2
10257,12,0
24062,3,1
11385,5,0
53130,4,2
22395,0,0
6425,4,1
23247,4,0
31782,3,1
42270,4,1
12500,0,0
30650,3,1
32563,12,1
40143,3,1
10633,4,0
24406,0,1
21174,3,0
15341,7,0
14293,3,0
6041,3,1
23623,3,0
17416,4,0
9835,3,0
7193,1,0
12958,4,0
27283,0,0
30234,4,1
3533,3,1
12164,5,0
17624,2,0
47154,5,1
35574,4,1
46086,4,1
13284,7,0
54543,4,0
26163,12,1
3701,3,1
42426,0,1
32751,4,1
10401,3,0
40371,1,1
45603,4,1
4524,4,1
37223,3,1
53766,3,1
25520,3,0
32597,3,1
57100,3,1
36137,4,1
41859,4,1
21180,4,1
39943,4,1
52472,5,2
5630,4,1
44517,4,1
50325,0,1
8913,4,0
16530,0,0
22705,4,0
7167,0,0
46240,0,1
27277,0,0
13042,4,2
6889,6,1
31312,0,1
12190,0,0
55657,4,2
19578,3,1
27879,3,1
34452,4,2
6287,3,1
7355,3,0
22537,4,1
43500,3,1
2627,4,0
13270,3,0
31120,3,1
11527,3,0
40385,3,1
15187,3,0
5402,4,1
44725,4,1
14055,0,0
20260,3,0
7731,4,2
22153,4,1
43958,4,0
28469,3,1
34036,0,1
8779,0,0
2243,3,0
27421,2,2
33213,3,1
39729,3,1
11143,0,0
56684,8,0
4988,8,1
44341,3,1
14431,4,1
33021,0,1
11371,0,0
41401,3,1
4386,3,1
16154,4,0
22361,4,1
29789,3,1
7503,3,1
34204,2,0
50741,4,2
13426,3,1
43356,4,1
13846,0,0
12994,4,0
46278,0,1
16508,1,0
18492,4,0
19540,5,1
7963,3,0
39147,8,0
57138,12,1
20856,4,0
41861,4,1
5608,4,1
15983,0,0
20258,3,0
47198,4,1
26993,1,1
13248,12,0
43538,3,1
8325,3,0
31118,3,1
19772,4,0
5862,3,1
14409,4,1
58726,3,1
11947,4,1
