"Age","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default","Income100k"
31,28493,300,24,3,10.83,60,"High School","Part-time","Divorced","Yes",0,0.88812
47,156997,589,112,3,10.68,60,"PhD","Self-employed","Single","No",0,0.25539
29,230668,314,36,4,23.21,48,"High School","Full-time","Divorced","No",1,0.78489
38,217929,434,60,2,21.19,12,"High School","Self-employed","Single","No",0,0.97822
35,19500,751,100,3,6.32,48,"High School","Self-employed","Single","No",0,0.33781
67,37632,486,87,4,5.26,12,"PhD","Part-time","Married","No",0,1.23094
33,57600,403,37,2,7.65,48,"Bachelor's","Full-time","Divorced","No",0,1.21482
18,147390,344,61,1,6.21,36,"High School","Unemployed","Married","Yes",1,0.61214
30,34709,644,91,1,21,36,"PhD","Self-employed","Married","Yes",0,0.63509
22,184897,469,61,1,8.23,48,"Master's","Unemployed","Married","No",0,1.2474
21,84391,831,108,3,19.36,48,"Bachelor's","Full-time","Single","No",0,0.31386
67,94955,347,52,1,4.56,12,"Master's","Self-employed","Single","Yes",0,0.17765
28,181969,584,5,3,7.37,12,"High School","Full-time","Divorced","Yes",0,0.77259
20,163660,505,49,2,13.88,24,"Master's","Self-employed","Single","Yes",1,0.48534
31,113293,419,115,1,24.58,36,"PhD","Part-time","Divorced","Yes",0,0.64451
34,127555,565,52,2,9.01,12,"Master's","Unemployed","Married","No",0,0.38314
18,30636,564,27,2,2.52,24,"Bachelor's","Unemployed","Single","Yes",0,1.0271
33,211288,727,94,3,22.51,36,"Master's","Full-time","Married","Yes",0,0.74255
45,170771,543,58,1,18.27,36,"Bachelor's","Full-time","Married","Yes",0,0.60001
36,29116,497,0,1,24,12,"High School","Unemployed","Divorced","No",0,1.08834
63,121809,785,42,2,11.23,36,"PhD","Part-time","Divorced","No",0,0.33791
62,166185,673,23,2,9.69,36,"Master's","Self-employed","Divorced","Yes",0,1.46115
67,82478,720,81,4,20.18,48,"Master's","Full-time","Divorced","No",0,0.15643
