,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Croissant (Bear Claw),401,3140,11.32%,,35,165,17.50%,27,146,15.61%,5,52,8.77%,15,123,10.87%,2,125,1.57%,13,71,15.48%,17,177,8.76%,8,219,3.52%,12,106,10.17%,8,227,3.40%,21,142,12.88%,16,164,8.89%,13,91,12.50%,7,84,7.69%,17,45,27.42%,25,310,7.46%,32,184,14.81%,39,190,17.03%,19,68,21.84%,3,182,1.62%,19,64,22.89%,31,100,23.66%,17,105,13.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF Scone (Lemon blueberry/Pumpkin),464,2925,13.69%,,34,122,21.79%,32,118,21.33%,7,54,11.48%,21,112,15.79%,6,127,4.51%,6,79,7.06%,32,146,17.98%,13,186,6.53%,11,97,10.19%,38,206,15.57%,5,130,3.70%,7,173,3.89%,2,96,2.04%,10,71,12.35%,24,49,32.88%,28,317,8.12%,48,184,20.69%,41,189,17.83%,13,46,22.03%,28,149,15.82%,28,46,37.84%,19,74,20.43%,11,154,6.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham and Swiss Croissant,373,2332,13.79%,,24,79,23.30%,12,87,12.12%,11,63,14.86%,8,90,8.16%,3,75,3.85%,10,21,32.26%,8,92,8.00%,13,108,10.74%,7,61,10.29%,20,206,8.85%,16,101,13.68%,28,140,16.67%,5,52,8.77%,9,65,12.16%,15,71,17.44%,35,286,10.90%,44,143,23.53%,33,166,16.58%,14,73,16.09%,14,155,8.28%,17,37,31.48%,14,66,17.50%,13,95,12.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peppermint Bark Cookie,0,0,#DIV/0!,,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Croissant,393,1415,21.74%,,21,32,39.62%,26,40,39.39%,2,1,66.67%,23,44,34.33%,4,55,6.78%,3,40,6.98%,10,35,22.22%,20,92,17.86%,11,33,25.00%,9,80,10.11%,19,48,28.36%,13,35,27.08%,9,30,23.08%,5,65,7.14%,15,75,16.67%,41,253,13.95%,40,101,28.37%,24,112,17.65%,13,37,26.00%,26,81,24.30%,29,31,48.33%,12,28,30.00%,18,67,21.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Chocolate Raspberry Scone,343,2569,11.78%,,19,162,10.50%,29,152,16.02%,3,60,4.76%,19,101,15.83%,2,111,1.77%,3,40,6.98%,34,154,18.09%,6,206,2.83%,12,86,12.24%,23,171,11.86%,11,131,7.75%,13,151,7.93%,10,93,9.71%,8,78,9.30%,17,36,32.08%,17,198,7.91%,23,127,15.33%,15,106,12.40%,15,39,27.78%,11,119,8.46%,19,40,32.20%,26,114,18.57%,8,94,7.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acai Bowl,1623,1490,52.14%,,92,53,63.45%,72,69,51.06%,44,54,44.90%,78,50,60.94%,55,82,40.15%,22,5,81.48%,61,92,39.87%,124,89,58.22%,51,48,51.52%,109,83,56.77%,68,63,51.91%,100,63,61.35%,49,52,48.51%,49,25,66.22%,64,17,79.01%,110,186,37.16%,89,54,62.24%,60,105,36.36%,90,34,72.58%,95,89,51.63%,92,21,81.42%,46,71,39.32%,3,85,3.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
