,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Croissant (Bear Claw),542,5253,9.35%,,22,277,7.36%,58,254,18.59%,18,92,16.36%,29,198,12.78%,19,176,9.74%,15,125,10.71%,31,328,8.64%,17,347,4.67%,23,183,11.17%,6,338,1.74%,4,263,1.50%,15,285,5.00%,10,158,5.95%,20,134,12.99%,19,89,17.59%,43,533,7.47%,54,273,16.51%,28,340,7.61%,20,113,15.04%,13,281,4.42%,10,111,8.26%,38,156,19.59%,30,199,13.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF Scone (Lemon blueberry/Pumpkin),428,4918,8.01%,,35,213,14.11%,23,222,9.39%,13,96,11.93%,13,194,6.28%,10,192,4.95%,11,131,7.75%,20,275,6.78%,4,298,1.32%,16,175,8.38%,40,336,10.64%,9,234,3.70%,17,255,6.25%,17,165,9.34%,14,113,11.02%,11,95,10.38%,22,552,3.83%,35,321,9.83%,21,310,6.34%,30,73,29.13%,7,269,2.54%,7,83,7.78%,31,121,20.39%,22,195,10.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham and Swiss Croissant,572,3701,13.39%,,27,136,16.56%,24,128,15.79%,11,101,9.82%,13,130,9.09%,19,107,15.08%,7,40,14.89%,16,177,8.29%,31,210,12.86%,29,112,20.57%,25,344,6.78%,34,153,18.18%,36,197,15.45%,22,80,21.57%,23,106,17.83%,12,124,8.82%,36,425,7.81%,52,233,18.25%,26,283,8.41%,27,106,20.30%,32,204,13.56%,11,53,17.19%,30,91,24.79%,29,161,15.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Croissant,505,2333,17.79%,,28,66,29.79%,19,78,19.59%,5,12,29.41%,10,79,11.24%,20,72,21.74%,11,61,15.28%,21,53,28.38%,20,160,11.11%,20,71,21.98%,23,119,16.20%,11,95,10.38%,19,61,23.75%,23,50,31.51%,25,90,21.74%,3,132,2.22%,52,408,11.30%,48,158,23.30%,22,150,12.79%,22,73,23.16%,25,126,16.56%,29,45,39.19%,27,47,36.49%,22,127,14.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Chocolate Raspberry Scone,393,4309,8.36%,,32,259,11.00%,19,267,6.64%,12,102,10.53%,16,183,8.04%,11,145,7.05%,1,67,1.47%,23,292,7.30%,13,314,3.98%,19,180,9.55%,22,283,7.21%,7,235,2.89%,16,229,6.53%,31,157,16.49%,24,116,17.14%,7,91,7.14%,26,317,7.58%,14,222,5.93%,24,192,11.11%,11,70,13.58%,10,174,5.43%,15,60,20.00%,26,221,10.53%,14,133,9.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acai Bowl,4,79,4.82%,,0,3,0.00%,0,3,0.00%,0,8,0.00%,0,2,0.00%,0,1,0.00%,0,0,#DIV/0!,0,5,0.00%,0,3,0.00%,0,1,0.00%,0,5,0.00%,3,9,25.00%,0,2,0.00%,0,2,0.00%,0,2,0.00%,1,0,100.00%,0,5,0.00%,0,2,0.00%,0,8,0.00%,0,1,0.00%,0,6,0.00%,0,0,#DIV/0!,0,7,0.00%,0,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagel Bites Everything,462,4644,9.05%,,11,220,4.76%,8,160,4.76%,16,106,13.11%,33,216,13.25%,15,195,7.14%,16,33,32.65%,41,256,13.80%,18,274,6.16%,12,201,5.63%,43,352,10.89%,42,236,15.11%,17,186,8.37%,41,125,24.70%,4,153,2.55%,2,114,1.72%,13,559,2.27%,13,248,4.98%,35,272,11.40%,19,116,14.07%,16,203,7.31%,8,76,9.52%,25,133,15.82%,14,210,6.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
